description,addr,district,road,obj_type,district_num,type_num,area,room,dinning,bath,which_floor,total_floor,total_fee
史上最便宜沒有之一✅可乖寵✅逢甲蛋黃區,台中市西屯區河南路二段,西屯區,河南路二段,獨立套房,8,1,10.34,1.0,0.0,1.0,5,5,3500.0
陽台獨洗、臺水電、可寵、電梯套房,台中市北區永興街297巷,北區,永興街,獨立套房,2,1,11.0,1.0,0.0,1.0,4,5,11000.0
圓圓$西區美術館-忠信國小-飯店風美套房,台中市西區五廊街,西區,五廊街,獨立套房,5,1,6.0,1.0,0.0,1.0,2,4,13000.0
陽台獨洗子母車🌀五權西黎明口靜巷可貓,台中市南屯區五權西路二段,南屯區,五權西路二段,獨立套房,7,1,8.0,1.0,0.0,1.0,4,4,8199.0
質感裝潢高樓層大兩房可租屋補助採光佳,台中市北屯區文心路四段,北屯區,文心路四段,整層住家,6,3,28.0,2.0,1.0,1.0,9,22,22000.0
陽台獨洗、電梯套房、小資首選,台中市南區台中路,南區,台中路,獨立套房,3,1,6.0,1.0,0.0,1.0,2,6,8500.0
近中國醫中技生活機能佳停車方便,台中市北區大德街119巷,北區,大德街,獨立套房,2,1,7.0,1.0,0.0,1.0,5,5,4500.0
爬上去就秒殺✅可貓陽台獨洗✅一房一廳逢甲,台中市西屯區西屯路二段270巷,西屯區,西屯路二段,獨立套房,8,1,12.5,1.0,0.0,1.0,5,5,7500.0
中港THEONE含車管，雅緻商務套房,台中市西屯區台中港路三段,西屯區,台中港路三段,獨立套房,8,1,28.0,1.0,0.0,1.0,4,24,19000.0
全新超美xxx台水電xx一包入住,台中市西屯區合江街,西屯區,合江街,整層住家,8,3,22.0,1.0,1.0,1.0,9,13,25000.0
一中精武/進化雙十🆕限女寵物採光分離式,台中市東區進化路,東區,進化路,獨立套房,4,1,10.0,1.0,0.0,1.0,5,6,5000.0
⚡富築⚡台水電⚡獨洗陽台⚡大兩房⚡電梯⚡,台中市北區光大街,北區,光大街,獨立套房,2,1,21.0,1.0,0.0,1.0,6,7,13499.0
台電💜電梯💜超精美裝潢💜流理台陽台,台中市北屯區綏遠路二段,北屯區,綏遠路二段,獨立套房,6,1,14.0,1.0,0.0,1.0,5,8,18499.0
秒殺大空間✨文心捷運站✨管理員✨陽台獨洗,台中市北區中清路一段,北區,中清路一段,獨立套房,2,1,15.0,1.0,0.0,1.0,11,12,11000.0
電梯✅陽台獨洗✅流理台✅乾溼分離✅子母車,台中市西屯區至善路,西屯區,至善路,獨立套房,8,1,12.0,1.0,0.0,1.0,5,7,13500.0
一房一廳💖大空間💖中華夜市✨陽台獨洗,台中市中區成功路,中區,成功路,獨立套房,1,1,20.0,1.0,0.0,1.0,1,4,12500.0
2房~含管.網路.第4台/中山醫溫馨舒適,台中市南區東興路一段60號,南區,東興路一段,整層住家,3,3,18.34,2.0,0.0,1.0,3,4,13000.0
尼爾森💠北屯秒殺可租補💠景觀捷運2房,台中市北屯區文心路四段,北屯區,文心路四段,整層住家,6,3,26.0,2.0,2.0,1.0,9,15,22000.0
太原火車站獨洗獨曬電梯陽台美套房,台中市北區國強街132巷,北區,國強街,獨立套房,2,1,8.0,1.0,0.0,1.0,1,7,8500.0
大間💜陽台獨洗💜室內機位💜採光通風,台中市北區太原八街,北區,太原八街,獨立套房,2,1,14.0,1.0,0.0,1.0,2,5,11999.0
等你點進來💜可貓💜陽台獨洗機車好停,台中市北區益華街58巷,北區,益華街,獨立套房,2,1,12.5,1.0,0.0,1.0,4,4,9799.0
秒殺獨曬衛浴開窗近中國醫,台中市北區英士路,北區,英士路,獨立套房,2,1,7.0,1.0,0.0,1.0,2,5,6499.0
超級大間💜電梯💜陽台獨洗💜超質感,台中市南區國光路,南區,國光路,獨立套房,3,1,16.0,1.0,0.0,1.0,3,6,11799.0
💜南屯💜新三房景觀戶💜生活機能超好,台中市西區大昌街,西區,大昌街,整層住家,5,3,28.0,3.0,2.0,1.0,11,12,36000.0
類一房一廳✨可貓咪✨陽台獨洗✨室內機車位,台中市西屯區西屯路二段270巷,西屯區,西屯路二段,獨立套房,8,1,15.0,1.0,0.0,1.0,5,6,7500.0
七期市政文華匯時尚兩房平車,台中市西屯區市政南一路,西屯區,市政南一路,整層住家,8,3,27.0,2.0,1.0,1.0,3,12,26000.0
好事多★三房含車位☆台水電★天然瓦斯開伙,台中市北屯區松義街,北屯區,松義街,整層住家,6,3,30.0,3.0,2.0,2.0,6,11,25000.0
七期/市政101/溫馨套房/機械停車位,台中市西屯區河南路三段131號,西屯區,河南路三段,整層住家,8,3,19.8,1.0,1.0,1.0,12,15,21000.0
西區🔸全新完工🔸類一房廳🔸可貓咪,台中市西區民生路,西區,民生路,獨立套房,5,1,13.5,1.0,0.0,1.0,1,7,12999.0
七期*巷弄靜宅*大套房@含網路第四台@,台中市西屯區河南路四段,西屯區,河南路四段,獨立套房,8,1,20.0,1.0,0.0,1.0,4,5,15000.0
北區一中街溫馨套房出租.長短期皆可,台中市北區育才街6巷3號,北區,育才街,分租套房,2,2,6.0,1.0,0.0,1.0,2,5,5500.0
可貓質感裝潢採光通風管理員近一中中科大,台中市北區五權路,北區,五權路,整層住家,2,3,10.0,1.0,1.0,1.0,4,12,12500.0
西區陽台獨洗🔸3道門禁🔸電梯系統櫃,台中市西區五權路,西區,五權路,獨立套房,5,1,10.0,1.0,0.0,1.0,4,8,11999.0
🌸文心大慶🌳全新未住景觀兩房平車,台中市南區大慶街一段,南區,大慶街一段,整層住家,3,3,20.0,2.0,2.0,2.0,13,15,28000.0
1房1廳/台水電/可寵物/近商圈,台中市北區三民路三段,北區,三民路三段,整層住家,2,3,17.6,1.0,1.0,1.0,6,10,18000.0
🔥中教大中華路商圈🔥電梯兩房獨洗曬,台中市北區原子街90巷,北區,原子街,整層住家,2,3,17.0,2.0,1.0,1.0,2,7,17200.0
全配，質感裝潢近逢甲大學，一卡皮箱入住,台中市西屯區逢甲路,西屯區,逢甲路,獨立套房,8,1,6.0,1.0,0.0,1.0,3,6,5800.0
電梯🌟一房一廳🌟落地窗🌟小廚房,台中市西區民生路,西區,民生路,獨立套房,5,1,13.0,1.0,0.0,1.0,5,7,13500.0
✨陽台獨洗✨台水電✨子母車✨可寵✨,台中市西屯區西安街143巷,西屯區,西安街,整層住家,8,3,26.0,2.0,1.0,1.0,3,5,22000.0
電梯免爬🔥一房一廳超大間🔥室內機車位,台中市西屯區漢成街,西屯區,漢成街,整層住家,8,3,30.0,1.0,1.0,1.0,2,3,21999.0
兩房雙衛浴獨洗陽台電梯管理員,台中市南屯區永春東路,南屯區,永春東路,整層住家,7,3,22.0,2.0,2.0,2.0,12,13,24047.0
✨電梯新屋❤大空間✅獨洗獨曬✨子母車,台中市西屯區太原路一段,西屯區,太原路一段,獨立套房,8,1,14.0,1.0,0.0,1.0,2,6,11000.0
💘近一中台水電可貓貓獨洗曬管理室流理台,台中市中區自由路二段,中區,自由路二段,獨立套房,1,1,10.0,1.0,0.0,1.0,6,8,9250.0
💛近全新♧完美格局♧樓中樓～國道💚,台中市西屯區西屯路三段53巷,西屯區,西屯路三段,獨立套房,8,1,15.0,1.0,0.0,1.0,2,3,17499.0
西區🔸全新完工🔸變頻冷氣🔸可貓,台中市西區民生路,西區,民生路,獨立套房,5,1,10.0,1.0,0.0,1.0,4,5,7499.0
❤電梯獨洗曬乾濕分離子母車❤,台中市西屯區太原路一段,西屯區,太原路一段,獨立套房,8,1,8.0,1.0,0.0,1.0,3,5,10000.0
２房２衛＋平車★捷運新市政站★新光大遠百,台中市西屯區文心路三段6號,西屯區,文心路三段,整層住家,8,3,19.9,2.0,2.0,2.0,12,26,30000.0
秒殺可貓✨陽台獨洗✨流理臺✨只想跟你住,台中市北區健行路,北區,健行路,獨立套房,2,1,13.0,1.0,0.0,1.0,4,4,9799.0
✨高cp值✨獨洗✨角間大面採光✨可寵✨,台中市南區仁義街,南區,仁義街,獨立套房,3,1,14.0,1.0,0.0,1.0,2,4,11500.0
㊝超質感漂亮㊝陽台獨洗㊝衛浴開窗㊝系統櫃,台中市南區和昌街,南區,和昌街,獨立套房,3,1,13.0,1.0,0.0,1.0,4,7,9299.0
🌹一房廳✦可貓✦流理台✦子母車✦機車位,台中市北區西屯路一段,北區,西屯路一段,整層住家,2,3,16.0,1.0,1.0,1.0,3,4,16800.0
台中西區永安街6樓(無電梯)已有人下訂,台中市西區永安街,西區,永安街,整層住家,5,3,20.0,2.0,1.0,1.0,6,6,9500.0
✨高CP值✨電梯✨子母車✨飲水機✨陽台✨,台中市西區向上南路一段,西區,向上南路一段,獨立套房,5,1,8.0,1.0,0.0,1.0,2,5,6300.0
🔥大降價💖崇德捷運站雙主臥3房車位,台中市北屯區崇德路二段,北屯區,崇德路二段,整層住家,6,3,27.3,3.0,2.0,3.0,7,25,23500.0
可短租❤一中商圈中國醫❤有陽台❤室內機車,台中市北區中華西街,北區,中華西街,獨立套房,2,1,10.0,1.0,0.0,1.0,2,5,7200.0
My逢甲🦌青海逢甲精緻半隔間一房平車,台中市西屯區逢明街29巷70號,西屯區,逢明街,整層住家,8,3,21.0,1.0,1.0,1.0,3,12,27000.0
稀有1+1房❤陽台獨洗❤流理台❤乾濕分離,台中市西區民生路,西區,民生路,整層住家,5,3,19.0,2.0,1.0,1.0,2,5,13499.0
💘可貓超大間一房一廳流理台子母車飲水機,台中市北區西屯路二段337巷,北區,西屯路二段,獨立套房,2,1,15.0,1.0,0.0,1.0,3,4,16800.0
可租補-酒店式管理東海工業區中科榮總,台中市西屯區福林路,西屯區,福林路,整層住家,8,3,20.0,2.0,2.0,2.0,2,9,27000.0
近中國醫！陽台！洗衣機！電梯套房,台中市北區梅亭街,北區,梅亭街,獨立套房,2,1,7.0,1.0,0.0,1.0,2,6,8000.0
秒殺可寵●中國醫●中科大台體●獨洗獨曬,台中市北區崇德路一段133巷,北區,崇德路一段,獨立套房,2,1,9.5,1.0,0.0,1.0,4,5,6999.0
💕My逢甲💕舒適二改一大空間含管,台中市西屯區逢明街29弄70號,西屯區,逢明街,整層住家,8,3,21.0,1.0,1.0,1.0,10,12,24000.0
✨高CP值✨可寵✨獨洗凸窗曬✨大坪數✨,台中市中區民族路121巷,中區,民族路,獨立套房,1,1,15.0,1.0,0.0,1.0,4,6,8000.0
快🔥降價🏠台中女中高樓層全新3房平車,台中市中區三民路二段,中區,三民路二段,整層住家,1,3,21.0,3.0,1.0,2.0,8,11,29500.0
逢甲僑光●電梯陽台獨曬●生活機能佳,台中市西屯區福星路,西屯區,福星路,獨立套房,8,1,9.5,1.0,0.0,1.0,4,7,7499.0
西屯-漢口青海雙商圈全新一房一廳台水台電,台中市西屯區四川路87巷,西屯區,四川路,獨立套房,8,1,12.0,1.0,0.0,1.0,2,12,11500.0
🌈美術館、五權車站、國圖館2房陽台獨洗,台中市西區五權路,西區,五權路,整層住家,5,3,20.0,2.0,1.0,1.0,2,5,15000.0
套房出租採光佳,台中市南區工學二街129號,南區,工學二街,分租套房,3,2,8.0,1.0,0.0,1.0,3,12,6800.0
國安路🍊有隔間一房/玉門中科/福科東海,台中市西屯區國安二路179號,西屯區,國安二路,整層住家,8,3,21.0,1.0,1.0,1.0,3,22,23000.0
🔥百里最強🔥全新首住🔥管員租補報稅,台中市西屯區國安二路,西屯區,國安二路,獨立套房,8,1,14.0,1.0,0.0,1.0,6,10,15500.0
Costco南苑公園💥1+1房⚡17坪,台中市南屯區文心南三路,南屯區,文心南三路,獨立套房,7,1,17.0,1.0,0.0,1.0,3,4,12500.0
❤可寵❤電梯❤一中❤中國醫❤機車位,台中市北區雙十路二段,北區,雙十路二段,整層住家,2,3,15.0,2.0,1.0,1.0,3,7,16999.0
焦凡凡💕逢甲大學旁~電梯大套室內7坪,台中市西屯區西安街277巷,西屯區,西安街,獨立套房,8,1,7.8,1.0,0.0,1.0,4,7,7800.0
秒殺近一中✨採光陽台✨電梯管理員✨,台中市北區崇德路一段,北區,崇德路一段,獨立套房,2,1,10.0,1.0,0.0,1.0,4,11,5299.0
一中商圈3+1房ˇ電梯採光佳ˇ可社宅租補,台中市北區練武路177巷,北區,練武路,整層住家,2,3,31.45,3.0,1.0,2.0,7,7,20000.0
可寵逢甲商圈★台水電獨立套房★可租汽車位,台中市西屯區文華路3號,西屯區,文華路,獨立套房,8,1,10.0,1.0,0.0,1.0,6,6,9999.0
⭐可報稅租補❤️陽台獨洗❤️衛浴開窗❤️新,台中市北區柳川東路四段,北區,柳川東路四段,住宅,2,4,15.0,1.0,0.0,1.0,3,6,11000.0
⭐電梯管理員❤️陽台獨洗❤️可貓貓,台中市西屯區西屯路二段上石北二巷,西屯區,西屯路二段上石北二巷,住宅,8,4,16.0,1.0,0.0,1.0,3,10,14000.0
🌟逢甲最頂🌟機能採光超好🌟電梯新屋,台中市西屯區至善路82巷,西屯區,至善路,獨立套房,8,1,10.0,1.0,0.0,1.0,5,6,13500.0
博識新兩房平車🌈河南路大墩學區,台中市南屯區河南路四段522號,南屯區,河南路四段,整層住家,7,3,18.0,2.0,2.0,1.0,4,24,34107.0
雙主臥_機上休旅車二樓整層+空中花園,台中市北屯區崇德路二段319號,北屯區,崇德路二段,整層住家,6,3,30.0,3.0,2.0,3.0,7,25,26000.0
可寵💛台水台電💛流理台💛獨洗,台中市中區三民路二段,中區,三民路二段,獨立套房,1,1,12.0,1.0,0.0,1.0,6,11,9249.0
出租優質套房,台中市南區南門路59巷82號,南區,南門路,獨立套房,3,1,5.0,1.0,0.0,1.0,4,6,4500.0
中科W時代👌兩房兩衛浴平車/國聚之悅,台中市西屯區國安二路179號,西屯區,國安二路,整層住家,8,3,28.0,2.0,2.0,2.0,14,22,31000.0
可貓咪ღ新裝潢沙發ღ陽台獨洗ღ電梯管理員,台中市北區五權路,北區,五權路,整層住家,2,3,12.0,1.0,1.0,1.0,4,12,12500.0
便宜大間ღ獨洗曬ღ小資首選ღ,台中市南區忠孝路,南區,忠孝路,獨立套房,3,1,10.0,1.0,0.0,1.0,3,5,6299.0
逢甲商圈三房平車🌐近國道/櫻花市場,台中市西屯區西屯路二段249巷3弄5號,西屯區,西屯路二段,整層住家,8,3,27.0,3.0,2.0,2.0,3,15,32000.0
⭐超值❤️採光獨曬❤️衛浴開窗,台中市西區西屯路二段,西區,西屯路二段,住宅,5,4,10.0,1.0,0.0,1.0,2,5,8000.0
⭐超便宜❤️陽台獨洗❤️秒殺物件,台中市西區精忠街,西區,精忠街,住宅,5,4,9.0,1.0,0.0,1.0,4,5,6000.0
⭐逢甲首選❤️電梯❤️陽台獨曬❤️年繳優惠,台中市西屯區福上巷龍欣三弄,西屯區,福上巷龍欣三弄,住宅,8,4,12.0,1.0,0.0,1.0,7,8,9500.0
⭐台水電❤️獨立門戶❤️陽台獨洗,台中市北區五權路,北區,五權路,住宅,2,4,16.0,1.0,0.0,1.0,4,10,14510.0
班芙春泉⭐一房一廳⭐平面車位⭐高樓好視野,台中市北屯區景賢二路,北屯區,景賢二路,整層住家,6,3,18.0,1.0,1.0,1.0,9,11,22000.0
電梯大坪數套房，獨立洗曬衣，系統櫃大收納,台中市北屯區后庄路860巷,北屯區,后庄路,分租套房,6,2,9.0,1.0,0.0,1.0,5,6,9000.0
大墩二房ˇ全配採光好近捷運ˇ可配合社宅,台中市西屯區大容西街,西屯區,大容西街,整層住家,8,3,21.45,2.0,1.0,1.0,10,12,23600.0
秒殺可狗@全新大一房一廳@超大衣櫃@沙發,台中市西屯區漢成街,西屯區,漢成街,獨立套房,8,1,18.0,1.0,0.0,1.0,5,6,21499.0
2F獨立洗曬大套房，大空間大收納,台中市西屯區文華路,西屯區,文華路,獨立套房,8,1,9.0,1.0,0.0,1.0,2,8,7000.0
期待💜系統裝潢💜陽台獨洗💜乾溼衛浴,台中市西區朝陽街,西區,朝陽街,獨立套房,5,1,11.0,1.0,0.0,1.0,3,7,8499.0
近科博館sogo勤美綠園道透天套房出租,台中市西區華美西街一段54號,西區,華美西街一段,住宅,5,4,7.0,1.0,0.0,1.0,3,5,5800.0
小資必看⭐近台體大⭐可寵⭐大面採光⭐秒殺,台中市東區精武路,東區,精武路,獨立套房,4,1,10.37,1.0,0.0,1.0,3,5,6500.0
✨銳宇GTI✨精美系統三房平車❤可寵❤黎,台中市南屯區益豐東街,南屯區,益豐東街,整層住家,7,3,22.0,2.0,2.0,1.0,3,12,33000.0
可寵大套房⭐衛浴開窗⭐流理臺⭐陽台獨洗曬,台中市西屯區福上巷,西屯區,福上巷,獨立套房,8,1,12.0,1.0,0.0,1.0,5,7,15250.0
近興大.忠孝夜市.興大附農.安靜採光佳,台中市南區忠孝路148巷,南區,忠孝路,獨立套房,3,1,5.0,1.0,0.0,1.0,1,4,6500.0
北區🔥北歐風🔥可貓狗🔥近日日新戲院,台中市北區中山路,北區,中山路,獨立套房,2,1,10.0,1.0,0.0,1.0,5,7,15000.0
免服務費/總太明日3房/2020聚作参考,台中市北屯區太原路三段,北屯區,太原路三段,整層住家,6,3,33.0,3.0,2.0,2.0,8,14,25000.0
✨短租首選✨可寵可狗✨獨洗陽台✨子母車,台中市北區篤行路,北區,篤行路,獨立套房,2,1,12.0,1.0,0.0,1.0,2,5,9500.0
✨MY逢甲✨一房超大空間含管❤W時代,台中市西屯區逢明街29巷,西屯區,逢明街,整層住家,8,3,21.0,1.0,1.0,1.0,10,12,24000.0
禁菸省電變頻冷暖氣僑光5分逢甲中科9分鐘,台中市西屯區中清路二段1250巷,西屯區,中清路二段,獨立套房,8,1,6.0,1.0,0.0,1.0,3,4,6500.0
稀有採光舒適正兩房😍MY逢甲勝美,台中市西屯區逢明街29巷,西屯區,逢明街,整層住家,8,3,26.0,2.0,2.0,1.0,4,12,28000.0
全新家具電~套房~多戶可選,台中市北屯區大連路一段252號,北屯區,大連路一段,住宅,6,4,10.0,1.0,1.0,1.0,5,5,13500.0
