description,addr,district,road,obj_type,district_num,type_num,area,room,dinning,bath,which_floor,total_floor,total_fee
❤️交通幹道金店面⭐雙店面⭐賺錢快搶,台中市中區台灣大道一段,中區,台灣大道一段,店面,1,1,70.0,0.0,0.0,0.0,1,4,70000.0
築創🆄黃金店面✪面寬3.5米◆興大商圈,台中市南區南門路,南區,南門路,店面,3,1,50.0,0.0,0.0,0.0,1,4,28000.0
工學商圈樓店.屋況佳只租16000元,台中市南區工學二街151巷,南區,工學二街,店面,3,1,16.0,0.0,0.0,0.0,1,14,16720.0
正青海路稀有7米大面寬金店面,台中市西屯區青海路一段,西屯區,青海路一段,店面,8,1,61.3,0.0,0.0,0.0,1,8,56250.0
店面/中清路育德路綠園道黃金三角窗店,台中市北區中清路一段183號,北區,中清路一段,店面,2,1,25.0,0.0,0.0,0.0,1,4,45000.0
阿尼❤️歡迎致電📲可文可武黃金透店,台中市南屯區大隆路,南屯區,大隆路,店面,7,1,52.7,0.0,0.0,0.0,1,3,55000.0
地下室大空間出租可倉庫可辦公,台中市西屯區工業區三十八路50號,西屯區,工業區三十八路,辦公,8,2,15.0,0.0,0.0,0.0,-1,2,8000.0
正福林路燙金店面Ａ,台中市西屯區福林路,西屯區,福林路,店面,8,1,10.4,0.0,1.0,1.0,1,5,55000.0
☆南屯嶺東精科☆1+3樓門前停車樓店,台中市南屯區嶺東路,南屯區,嶺東路,店面,7,1,48.353,0.0,0.0,0.0,1,3,40000.0
Z成功路vs市府路★一樓店面~近台灣大道,台中市中區成功路,中區,成功路,店面,1,1,17.06,0.0,1.0,1.0,1,5,20000.0
🍎🍎漢口路熱鬧商圈一樓賺錢金店面,台中市西屯區漢口路二段,西屯區,漢口路二段,店面,8,1,34.0,0.0,0.0,0.0,1,4,32000.0
達觀商務中心中港中心個人辦公座位出租,台中市西區中港路二段186號,西區,中港路二段,辦公,5,2,5.0,0.0,0.0,0.0,20,29,4000.0
達觀商務中心中港中心辦公室出租,台中市西區臺灣大道二段186號,西區,臺灣大道二段,辦公,5,2,10.0,0.0,0.0,0.0,20,26,8000.0
營業登記最低600,台中市西區台灣大道二段186號,西區,台灣大道二段,辦公,5,2,2.0,0.0,0.0,0.0,20,26,1500.0
地段好捷運旁✅商辦大空間✅車位好租管理員,台中市西屯區河南路一段,西屯區,河南路一段,辦公,8,2,45.54,0.0,0.0,0.0,6,12,35000.0
台灣大道現有隔間裝潢－專營商辦華府房屋,台中市西區台灣大道二段,西區,台灣大道二段,辦公,5,2,74.79,0.0,0.0,0.0,15,27,50857.0
寵物店★事務所★工作室★門前停車★可營登,台中市北區美德街,北區,美德街,店面,2,1,60.0,0.0,0.0,0.0,1,3,45000.0
中科正寶輝商圈薇風店面,台中市西屯區福科路362巷,西屯區,福科路,店面,8,1,9.0,0.0,0.0,0.0,1,4,15000.0
捷運市政府五期大墩商業大樓邊間附平車,台中市西屯區大容東街,西屯區,大容東街,辦公,8,2,112.0,4.0,2.0,2.0,10,12,78500.0
辦公室分租/北區/歡迎自由工作者加入,台中市北區忠太東路,北區,忠太東路,辦公,2,2,15.0,0.0,0.0,0.0,1,21,6500.0
正文心路雙面寬店面(南屯捷運站口)禁餐飲,台中市南屯區文心路一段,南屯區,文心路一段,店面,7,1,39.3,0.0,0.0,0.0,1,14,53388.0
大墩路上✨黃金店面✨禁餐飲,台中市西屯區大墩路,西屯區,大墩路,店面,8,1,30.0,0.0,0.0,0.0,1,4,38000.0
可以做餐飲業的黃金店面,台中市北區中清路一段275號,北區,中清路一段,店面,2,1,72.0,0.0,0.0,0.0,1,2,36000.0
商辦/可營登/室內足65坪/有3車位,台中市西屯區福科路,西屯區,福科路,辦公,8,2,65.0,0.0,0.0,0.0,2,2,50000.0
嶺東科大～新商圈~燙金店面～~工作室,台中市南屯區春安三街,南屯區,春安三街,店面,7,1,15.0,0.0,0.0,0.0,1,12,26500.0
"CT,國泰Mega大面寬店面街金雞母出租",台中市北屯區南興一路,北屯區,南興一路,店面,6,1,48.45,0.0,0.0,0.0,1,14,58000.0
聚作北面環河財聚黃金店面,台中市北屯區環太東路508號,北屯區,環太東路,店面,6,1,39.35,0.0,0.0,0.0,1,15,41200.0
高樓層最便宜✔室內五隔間✔直接使用最方便,台中市北屯區文心路四段955號,北屯區,文心路四段,辦公,6,2,40.0,0.0,0.0,0.0,14,26,36286.0
~興大學府商圈學府大面寬邊間1+2店鋪~,台中市南區學府路,南區,學府路,店面,3,1,8.8,0.0,0.0,0.0,1,7,45000.0
正文華路上黃金店面,台中市西屯區文華路,西屯區,文華路,店面,8,1,18.0,0.0,0.0,0.0,1,2,48000.0
超大棟距樓中樓店面,台中市東區旱溪東路一段,東區,旱溪東路一段,店面,4,1,24.3,0.0,0.0,0.0,1,15,28260.0
1樓+B1店面❤中華夜市菜市場❤餐飲皆可,台中市北區中華西街101號,北區,中華西街,店面,2,1,28.0,0.0,0.0,0.0,1,5,18000.0
南屯生產力大樓近捷運文心森林公園吳柔霏,台中市南屯區文心路一段,南屯區,文心路一段,辦公,7,2,65.0,0.0,0.0,0.0,4,13,54150.0
V.大城七月沐樂金店面出租,台中市北屯區景賢路,北屯區,景賢路,店面,6,1,25.71,0.0,0.0,0.0,1,14,45800.0
"益民商圈💎1,2樓店鋪💎",台中市北區錦新街,北區,錦新街,店面,2,1,30.0,0.0,0.0,0.0,1,12,30000.0
曾芯🏡建成路透店🏡40米路(整棟),台中市東區建成路350號,東區,建成路,店面,4,1,85.08,0.0,0.0,0.0,1,4,38000.0
全新=樓中樓工作室=可公司登記,台中市南區工學北路86號,南區,工學北路,辦公,3,2,12.0,0.0,0.0,0.0,4,18,9806.0
總太明日黃金店面住辦兩用,台中市北屯區太原路三段,北屯區,太原路三段,店面,6,1,24.221,0.0,0.0,0.0,1,14,25400.0
❤店面出租❤餐飲可談❤,台中市北屯區大連路二段,北屯區,大連路二段,店面,6,1,20.0,0.0,0.0,0.0,1,7,37000.0
武財神保佑全新整理近四維捷運站商辦,台中市北屯區文心路四段,北屯區,文心路四段,辦公,6,2,27.0,0.0,0.0,0.0,18,26,40817.0
嶺東商圈~燙金店面~機能地段~個人工作室,台中市南屯區春安三街,南屯區,春安三街,店面,7,1,15.0,0.0,0.0,0.0,1,15,26500.0
一中街黃金店面,台中市北區一中街21號,北區,一中街,店面,2,1,9.0,0.0,0.0,0.0,1,1,45000.0
V.大城七月沐樂店面出租,台中市北屯區景賢路,北屯區,景賢路,店面,6,1,25.71,0.0,0.0,0.0,15,15,45800.0
全新角間店面1+2樓,台中市西屯區安和路,西屯區,安和路,店面,8,1,34.55,0.0,0.0,0.0,1,12,52545.0
台灣大道平車附裝潢衛浴-商辦專業如春房屋,台中市西區台灣大道二段,西區,台灣大道二段,辦公,5,2,51.9,0.0,0.0,0.0,10,13,53114.0
1樓店面2樓以上套房💖降價了!!!,台中市西屯區漢口路二段,西屯區,漢口路二段,店面,8,1,80.0,0.0,0.0,0.0,1,4,68000.0
近崇德路商圈★專營商辦★華府房屋,台中市北區漢口路四段,北區,漢口路四段,辦公,2,2,85.94,0.0,0.0,0.0,13,17,62561.0
超大店面效益💜走路火車站💜機能一級棒,台中市中區雙十路一段,中區,雙十路一段,店面,1,1,20.0,0.0,0.0,0.0,1,6,35499.0
近教育大學梅川園道第一排文青小店面,台中市西區民生北路26號,西區,民生北路,店面,5,1,15.73,0.0,0.0,0.0,1,1,20000.0
北平商圈文心捷運正文心路面寬熱鬧店面,台中市北區文心路四段,北區,文心路四段,店面,2,1,50.0,0.0,0.0,0.0,1,14,67716.0
文心路熱河路透店,台中市北屯區熱河路二段,北屯區,熱河路二段,店面,6,1,58.08,0.0,0.0,0.0,1,3,48000.0
交通方便/營業登記/高樓層辦公室,台中市西區台灣大道二段2號,西區,台灣大道二段,辦公,5,2,5.0,0.0,0.0,0.0,20,20,11000.0
台中路精緻店鋪出租(薆悅酒店旁),台中市東區台中路215號,東區,台中路,店面,4,1,9.0,0.0,0.0,0.0,1,3,22000.0
辦公室~個人工作室~,台中市西屯區河南路二段259號,西屯區,河南路二段,辦公,8,2,5.0,0.0,0.0,0.0,3,12,6800.0
台灣大道圈絕佳地段商辦,台中市北區台灣大道二段,北區,台灣大道二段,辦公,2,2,25.0,0.0,0.0,0.0,9,12,27800.0
🧡英才/公益商圈💛工業風商辦附系統櫃,台中市西區台灣大道二段,西區,台灣大道二段,辦公,5,2,26.7,0.0,0.0,0.0,10,15,48000.0
台中市政府附近，全新裝潢辦公室出租,台中市南屯區大容西街,南屯區,大容西街,辦公,7,2,42.41,2.0,2.0,1.0,7,12,46230.0
★大地商場金店面★好市多★寶雅★壽司郎★,台中市北屯區敦富一街,北屯區,敦富一街,店面,6,1,53.21,0.0,0.0,0.0,1,2,99999.0
美術園道商圈、文創店聚集地，商業氣氛佳,台中市西區美村路一段,西區,美村路,店面,5,1,45.46,0.0,0.0,0.0,1,13,55000.0
Z七月沐樂正景賢路吃市店面1+2+3邊間,台中市北屯區景賢街,北屯區,景賢街,店面,6,1,43.047,0.0,0.0,0.0,1,3,45800.0
中區店面商辦出租,台中市中區成功路,中區,成功路,店面,1,1,16.0,0.0,0.0,0.0,1,12,18000.0
