addr,district,road,description,area,room,bath,dinning,obj_type,which_floor,total_floor,mgnt_fee,rent_fee
台中市西屯區至善路,西屯區,至善路,❤逢甲專區❤先搶先贏❤獨洗獨曬❤機車位❤,8.0,0.0,0.0,0.0,車位,5,6,"1,000元/月",5499.0
台中市西屯區河南路二段,西屯區,河南路二段,史上最便宜沒有之一✅可乖寵✅逢甲蛋黃區,10.34,1.0,1.0,0.0,獨立套房,5,5,"1,000元/月",2500.0
台中市北區永興街297巷,北區,永興街,陽台獨洗、臺水電、可寵、電梯套房,11.0,1.0,1.0,0.0,獨立套房,4,5,"1,000元/月",10000.0
台中市西區五廊街,西區,五廊街,圓圓$西區美術館-忠信國小-飯店風美套房,6.0,1.0,1.0,0.0,獨立套房,2,4,,13000.0
台中市南屯區五權西路二段,南屯區,五權西路二段,陽台獨洗子母車🌀五權西黎明口靜巷可貓,8.0,1.0,1.0,0.0,獨立套房,4,4,200元/月,7999.0
台中市中區台灣大道一段,中區,台灣大道一段,❤️交通幹道金店面⭐雙店面⭐賺錢快搶,70.0,0.0,0.0,0.0,店面,1,4,無,70000.0
台中市南屯區河南路四段,南屯區,河南路四段,🍺富築🍺可入籍🍺三房平車🍺低公設,51.38,3.0,2.0,3.0,整層住家,12,16,"2,500元/月",29500.0
台中市西區公益路155巷100號,西區,公益路,勤美草悟道龍寶人本四房平車~,85.56,4.0,4.0,2.0,整層住家,10,10,"14,272元/月",80000.0
台中市北屯區文心路四段,北屯區,文心路四段,質感裝潢高樓層大兩房可租屋補助採光佳,28.0,2.0,1.0,1.0,整層住家,9,22,"2,000元/月",20000.0
台中市南區台中路,南區,台中路,陽台獨洗、電梯套房、小資首選,6.0,1.0,1.0,0.0,獨立套房,2,6,500元/月,8000.0
台中市北區大德街119巷,北區,大德街,近中國醫中技生活機能佳停車方便,7.0,1.0,1.0,0.0,獨立套房,5,5,,4500.0
台中市西區中興街,西區,中興街,勤美園道科博館惠宇科博觀邸3房雙平車,52.0,3.0,2.0,2.0,整層住家,3,15,"6,910元/月",60000.0
台中市南區南和路1號,南區,南和路,南區近大里6房透天.禁菸寵明火,60.0,6.0,3.0,2.0,整層住家,1,4,無,28000.0
台中市北屯區天津路四段,北屯區,天津路四段,北屯近捷運電梯大廈/周邊生活配套完善,26.42,2.0,1.0,2.0,整層住家,22,24,無,25000.0
台中市南區南門路,南區,南門路,築創🆄黃金店面✪面寬3.5米◆興大商圈,50.0,0.0,0.0,0.0,店面,1,4,無,28000.0
台中市西屯區西屯路二段270巷,西屯區,西屯路二段,爬上去就秒殺✅可貓陽台獨洗✅一房一廳逢甲,12.5,1.0,1.0,0.0,獨立套房,5,5,"1,000元/月",6500.0
台中市北屯區中清路二段,北屯區,中清路二段,久樘經貿巴黎華廈,55.0,3.0,2.0,2.0,整層住家,8,15,,30000.0
台中市西屯區台灣大道三段,西屯區,台灣大道三段,尼爾森💥國雄景觀四房💥可談家具,40.0,4.0,2.0,2.0,整層住家,9,24,,65000.0
台中市西屯區台中港路三段,西屯區,台中港路三段,中港THEONE含車管，雅緻商務套房,28.0,1.0,1.0,0.0,獨立套房,4,24,,19000.0
台中市北屯區軍福十六路,北屯區,軍福十六路,*~北屯輕齡高樓視野景觀戶+平面車位~*,52.25,3.0,2.0,2.0,整層住家,15,15,,28500.0
台中市南屯區嶺東路840號,南屯區,嶺東路,♡嶺東精科-整棟樓店♡,57.52,3.0,2.0,2.0,住宅,1,3,無,40000.0
台中市西屯區合江街,西屯區,合江街,全新超美xxx台水電xx一包入住,22.0,1.0,1.0,1.0,整層住家,9,13,"2,000元/月",23000.0
台中市北屯區南興北一路,北屯區,南興北一路,機捷特區臨路獨棟透天店面,103.47,,,,店面,1,2,,280000.0
台中市東區進化路,東區,進化路,一中精武/進化雙十🆕限女寵物採光分離式,10.0,1.0,1.0,0.0,獨立套房,5,6,,5000.0
台中市北區光大街,北區,光大街,⚡富築⚡台水電⚡獨洗陽台⚡大兩房⚡電梯⚡,21.0,1.0,1.0,0.0,獨立套房,6,7,500元/月,12999.0
台中市北屯區綏遠路二段,北屯區,綏遠路二段,台電💜電梯💜超精美裝潢💜流理台陽台,14.0,1.0,1.0,0.0,獨立套房,5,8,"1,500元/月",16999.0
